00001Test                            0.00                                      0.00                                      0.00                  A11.00                 0.00                  0.00                  
000034390                            0.00                                      0.00                                      0.00                  I0.00                  11.00                 0.00                  
00080Repack Charge                   0.00                                      0.00                                      0.00                  I0.00                  0.00                  0.00                  
00086Freight - Full Load             0.00                                      0.00                                      0.00                  A198.00                0.00                  0.00                  
12560Grapefruit Bin 756 Ct         EA56.00                                     0.00                  1                   0.00                  A187.00                0.00                  0.00                  
12565Grpfrt Wht 03                 EA3.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
12570Grpfrt Wht 48                 EA48.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
12573Grpfrt Wht 06                 EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
12750Grpfrt Red 40 Orchid          EA40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
12760Grpfrt Ruby Star 27           EA27.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
12780Grapefruit Star Ruby 27/32    EA32.00                                     0.00                  1                   0.00                  I11.11                 0.00                  0.00                  
12783Grpfrt Red 5/8#               LB5.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
12785Grapefruit 3/14#              EA3.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
12850Grpfrt Red Fla 4/10#          EA10.00                                     0.00                  5                   0.00                  I13.53                 0.00                  0.00                  
12855Grpfrt Red 8/5#               EA8.00                                      0.00                  1                   0.00                  A13.75                 0.00                  0.00                  
12875Grpfrt Wht Fla 8/5#           EA8.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
12890Fruit - Gift Box              EA1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
12892Orange Nav Fla 2/5            EA1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
12893Tangelo 2/5                   EA1.00                                      0.00                  1                   0.00                  I7.53                  0.00                  0.00                  
13000Lemon 075                     EA75.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13005Lemon 095                     EA95.00                                     0.00                  1                   0.00                  A21.17                 25.00                 0.00                  
13010Lemon 115                     EA15.00                                     0.00                  1                   0.00                  A19.52                 22.50                 0.00                  
13015Lemon 140                     EA40.00                                     0.00                  1                   0.00                  A19.52                 22.50                 0.00                  
13016Lemon 140 1/2 Cs              EA70.00                                     0.00                  1                   0.00                  A9.90                  13.50                 0.00                  
13020Lemon 165                     EA65.00                                     0.00                  1                   0.00                  A17.32                 20.50                 0.00                  
13022Lemon 24 Ct                   EA24.00                                     0.00                  1                   0.00                  A4.01                  6.00                  0.00                  
13025Lemon 200                     EA0.00                                      0.00                  1                   0.00                  A17.60                 0.00                  0.00                  
13030Lemon 36 Ct                   EA36.00                                     0.00                  1                   0.00                  A5.72                  0.00                  0.00                  
13040Lemon Bagged 4/24 Ct.         EA4.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13060Lemon Skst 115                EA15.00                                     0.00                  1                   0.00                  A42.07                 46.00                 0.00                  
13065Lemon Skst 140                EA40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13070Lemon Chilean 140             EA40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13071Lemon 165 1/2 Cs              EA82.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13072Lemon 14 Ct.                  EA14.00                                     0.00                  1                   0.00                  A2.64                  0.00                  0.00                  
13075Lemon 12 Ct                   EA12.00                                     0.00                  1                   0.00                  A2.47                  5.00                  0.00                  
13080Lemon Chilean 165             EA65.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13085Lemon Chilean 115             EA15.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13095Lemon 1# (95 Size)            LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13100Lemon Bagged 18/2#            EA18.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13150Lime 200                      EA40.00                                     0.00                  1                   0.00                  A33.00                 0.00                  0.00                  
13200Lime 54                       EA54.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13205Lime 63 Ct                    EA63.00                                     0.00                  1                   0.00                  A8.25                  11.00                 0.00                  
13210Lime 10#                      EA48.00                                     0.00                  1                   0.00                  A7.15                  12.00                 0.00                  
13212Lemon Grass                   EA1.00                                      0.00                  $12.00              0.00                  A5.50                  0.00                  0.00                  
13215Lime 12 Ct                    EA12.00                                     0.00                  1                   0.00                  A2.36                  4.00                  0.00                  
13218Lime 1/2 Cs                   EA24.00                                     0.00                  1                   0.00                  A3.19                  0.00                  0.00                  
13220Lime Plastic 24/4.5 Oz        EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13225Lemon Plastic 24/4.5 Oz       EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13275Limes Bagged 17/2#            EA17.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13300Orange Juice                  EA4.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13305Orange Fla 080                EA80.00                                     0.00                  1                   0.00                  A9.07                  12.00                 0.00                  
13310Orange Fla 100                EA0.00                                      0.00                  1                   0.00                  A8.25                  11.50                 0.00                  
13315Orange Fla 125                EA25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13320Orange Fla 8/5#               EA8.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13350Orange Cal Bin 60/10#         EA60.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13360Orange Fla Bin - 4# Bags      EA60.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13375Orange Fla 10/4#              EA10.00                                     0.00                  1                   0.00                  A11.38                 16.50                 0.00                  
13400Orange Fla Navel 64 Ct        EA64.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13405Orange Mandarin Skist Jbo     EA72.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13420Orange Fla Navel 64 Ct        EA64.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13450Orange Spanish Navel          EA70.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13455Orange Nav Fla 036            EA36.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13460Orange Nav Fla 048            EA48.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13465Orange Nav Flo 36/40          EA36.00                                     0.00                  1                   0.00                  I12.10                 0.00                  0.00                  
13470Orange Fla Navel 48/64        EA48.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13475Orange Fla Navel 56 Ct        EA56.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13480Orange Nav Fla 056            EA56.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13485Orange Nav Fla 100            EA0.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13490Orange Nav Fla 125            EA25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13500Orange Fla 3/14#              EA3.00                                      0.00                  4                   0.00                  I0.00                  0.00                  0.00                  
13540Orange 12 Ct                  EA12.00                                     0.00                  1                   0.00                  A2.53                  5.00                  0.00                  
13542Orange 1#                     EA1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13548Orange 06 Ct                  ea6.00                                      0.00                  1                   0.00                  A1.70                  0.00                  0.00                  
13570Orange Cal 088 Sunkist        EA88.00                                     0.00                  1                   0.00                  A11.00                 15.00                 0.00                  
13572Orange 11 Ct.                 EA11.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13575Orange Mandarin 12/3          LB3.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13580Orange Cal 113 Choice         EA13.00                                     0.00                  1                   0.00                  A8.25                  11.50                 0.00                  
13595Orange Cal 7/4#               EA7.00                                      0.00                  1                   0.00                  A9.90                  13.00                 0.00                  
13600Orange Cal 5/10#              EA5.00                                      0.00                  1                   0.00                  A15.40                 18.50                 0.00                  
13642Orange 36 Ct                  EA36.00                                     0.00                  1                   0.00                  A10.48                 0.00                  0.00                  
13650Orange Cal 4/8#               EA4.00                                      0.00                  1                   0.00                  A11.33                 0.00                  0.00                  
13655Orange Cal Nav 2/5 Box        EA28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13660Orange Cal 3/8#               EA3.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13665Orange Cal 072 Sunkist        EA72.00                                     0.00                  1                   0.00                  A14.30                 17.50                 0.00                  
13685Tangelo Minneola Cal 100      EA0.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13690Tangelo Minn 54               LB54.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13750Orange Bin 150/4#             EA50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13760Orange Cal 056 Sunkist        EA56.00                                     0.00                  1                   0.00                  A16.77                 19.50                 0.00                  
13780Orange Val Ca Fcy 138         EA38.00                                     0.00                  1                   0.00                  I23.65                 0.00                  0.00                  
13785Orange Cal 088 Choice         EA88.00                                     0.00                  1                   0.00                  A10.17                 13.00                 0.00                  
13790Orange Cal 072                EA40.00                    10.50            0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13792Orange Cal 036                EA36.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
13793Orange Cal 048 Sunkist        EA48.00                                     0.00                  1                   0.00                  A16.77                 19.50                 0.00                  
13795Orange Calif. 10/4#           EA10.00                                     0.00                  4                   0.00                  I0.00                  0.00                  0.00                  
13875Orange Cal 113 Sunkist        EA13.00                                     0.00                  1                   0.00                  A8.80                  13.00                 0.00                  
13880Orange Cal 138 Choice         EA38.00                                     0.00                  1                   0.00                  A6.60                  0.00                  0.00                  
13910Orange Cal 4/10#              EA4.00                                      0.00                  10                  0.00                  I0.00                  0.00                  0.00                  
13950Orange Jaffa 70 Ct            EA77.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14000Tangerine S/Burst 080         EA80.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14005Tangerine Honey 150           EA50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14010Tangerine Sunburst 120        EA20.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14015Tangerine Honey 100           EA0.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14020Tangerine 176 Mex             EA76.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14100Tangerine Honey 180           EA80.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14103Tangerine Honey 080           EA80.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14105Tangerine Cal Fairchild       EA90.00                                     0.00                  1                   0.00                  I24.75                 0.00                  0.00                  
14110Tangerine Honey 120           EA20.00                                     0.00                  1                   0.00                  A16.77                 20.00                 0.00                  
14115Tangerine 150 Mex             EA50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14117Tangerine Fla 150             LB50.00                                     0.00                  1                   0.00                  A10.17                 0.00                  0.00                  
14120Tangerine Fla 100 Ct          EA0.00                                      0.00                  1                   0.00                  A17.10                 0.00                  0.00                  
14150Tangelo 064                   EA64.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14155Tangelo 080                   EA80.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14160Tangelo 100                   EA0.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14165Tangelo 048                   EA48.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14215Tangelo 125 Orlando           EA25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14265Tangelo 125                   EA25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14268Tangelo Fla 10/4#             LB10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14315Tangelo 064                   EA64.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14317Tangelo Orlando Cal Mam       EA0.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14318Tangelo Orlando Cal           EA90.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14320Tangerine Fall Glow 080 Ct    LB80.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14322Tangerine Fall Glow 100 Ct    EA0.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14325Tangerine S/Burst 120         EA20.00                                     0.00                  1                   0.00                  A15.18                 19.50                 0.00                  
14330Tangerine Mandarin Cal        EA0.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14332Orange Satsuma 100            EA0.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14350Tangelo Minn Bags             EA90.00                                     0.00                  1                   0.00                  I5.50                  0.00                  0.00                  
14355Tangelo Menneola 125 Ct       EA25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14365Tangelo Minneola 12/3         FT12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14420Tangerine S/Burst 150         EA50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14422Tangerine S/Burst 100         LB0.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14423Tangerine S/Burst 120         EA20.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14425Tangelo Minneola Skist        EA25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14430Tangerine 12/3 Lb             EA12.00                                     0.00                  3                   0.00                  A16.99                 21.00                 0.00                  
14510Temple Fla 064                EA64.00                                     0.00                  1                   0.00                  A0.00                  0.00                  0.00                  
14515Temple Fla 080                EA80.00                                     0.00                  1                   0.00                  A15.12                 17.50                 0.00                  
14520Temple Fla 100                EA0.00                                      0.00                  1                   0.00                  A13.20                 16.00                 0.00                  
14525Temple Fla 125                EA25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14600Uniq Fruit                    EA23.00                                     0.00                  1                   0.00                  A36.85                 0.00                  0.00                  
14610Uniq Fruit 16 Ct              EA16.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14650Guava 10#                     LB10.00                                     0.00                  1                   0.00                  A28.05                 0.00                  0.00                  
14675Key Lime 10/1#                EA10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14710Lee Citrus 80-100-120         LB20.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14712Lee Citrus 150                  50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14805Apricot 16#                   LB16.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14808Apricot Dried                 LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14810Apricot 18#                   LB18.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
14905Apricot Chile                 LB16.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15030Cherries 10 1/2 Row           LB20.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15035Cherries 11-11 1/2 Row        LB20.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15050Cherries Rainier - White      LB20.00                                     0.00                  1                   0.00                  A83.60                 0.00                  0.00                  
15060Cherries 12 Row               LB20.00                    20.00            0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15065Cherries - Pathmark           LB20.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15067Cherries 12/1#                LB12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15070Cherries Chile                LB11.00                                     0.00                  1                   0.00                  A27.50                 0.00                  0.00                  
15205Nectarine Chile               LB16.00                                     0.00                  1                   0.00                  A13.75                 17.50                 0.00                  
15215Nectarine Tree Ripened        LB0.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15250Nectarine 25# 70/72           LB25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15265Nectarine 25# 56/60           LB25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15275Nectarine 25# 60/64           LB25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15305Nectarine 25# 80/84           LB25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15310Nectarine 25# 48/50           LB25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15360Nectarine Panapak             LB18.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15380Nectarine East 38#            LB38.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15500Peach Chile                   LB18.00                                     0.00                  1                   0.00                  A15.95                 17.50                 0.00                  
15605Peach 25# Cal 60's            EA25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15620Peach Tree Ripened            0 0.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15660Peach Cal 25# 56's            LB25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15700Peach 2 3/4 25#               LB25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15705Peach 2 1/2 25#               LB25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15710Peach 2'' 25#                 LB25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15715Peach 2 1/4 25#               LB25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15720Peach Panapak                 LB18.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15751Plum Queen Rosa 2X3X4           0.00                                      0.00                                      0.00                  I0.00                  0.00                  0.00                  
15795Peach Cal 25# 64's            LB25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15950Plum Black 70/75              LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15951Plum Queen Rosa 2X3X4         LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15952Plum Blk Howard Son 40/45     LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15953Plum Black 40/45              LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15955Plum Red 60/65                LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15957Plum Black Angelino 40/45     LB28.00                                     0.00                                      0.00                  I0.00                  0.00                  0.00                  
15958Plum Black 50/55              LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15960Plum Black 60/65              LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15961Plum Queen Rosa 3X3           LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
15975Plum Black 9/4 Lb             ea9.00                                      0.00                                      0.00                  I0.00                  0.00                  0.00                  
16010Plums 12-4 3X3                LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16017Plum 10/4 Ct.                 EA10.00                                     0.00                                      0.00                  I0.00                  0.00                  0.00                  
16020Plum Santa Rosa 50/55         LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16030Plum Santa Rosa 70/75         LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16050Plum Chile                    LB16.00                                     0.00                  1                   0.00                  A20.90                 24.50                 0.00                  
16051Plum Chile Red                LB16.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16060Plum Royal Diamond 40/45      LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16065Plum Red 50/55                lb28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16070Plum Red 70/75                LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16075Plum Red 40/45                LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16155Plum Eldorado 3X4             LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16157Plum Eldorado 4X4             LB28.00                                     0.00                                      0.00                  I0.00                  0.00                  0.00                  
16158Plum Eldorado 3X4X4           LB28.00                                     0.00                                      0.00                  I0.00                  0.00                  0.00                  
16160Plums 3X4 El Dorado 28 Lb     LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16200Plum Friar 2X3X3              LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16205Plum Blk Howard Son 50/55     LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16210Plum Black 30/35              LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16215Plum 2X3X3 Friar 28#          LB28.00                                     0.00                  1                   0.00                  I18.04                 0.00                  0.00                  
16218Plum Freedom 2X3              LB28.00                                     1.00                                      1.00                  I0.00                  0.00                  0.00                  
16220Plum Freedom 3X3              LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16225Plum Black Friar 50/55        LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16230Plum Black Friar 40/45        LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16250Plum Red Fortune 50/60        LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16255Plum Red 30/35                LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16260Plum Royal Diamond 3X3          28.00                                     0.00                                      0.00                  I0.00                  0.00                  0.00                  
16261Plum Royal Diamond 40/45      LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16262Plum Royal Diamond 50/60      LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16263Plum Royal Diamond 2X3X4      LB28.00                                     0.00                                      0.00                  I0.00                  0.00                  0.00                  
16270Plum Red - Prima Rosa         LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16272Plum Queen Rosa 3X4           LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16273Plum Queen Rosa 3X4X4         LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16275Plum Queen Rosa 4X4           EA28.00                                     1.00                  1                   0.00                  I0.00                  0.00                  0.00                  
16300Plum Kelsey 28#               LB28.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
